Market,Date,Month,Year,LSE IPO,TIDM,Company,Issue type,Country of Inc.,FTSE Industry,FTSE Sector, FTSE Subsector ,Issue Price,Currency, Market Cap - Opening Price (£m) ,Nominated Advisor (AIM only),Money Raised - New (),Money Raised - Existing (),TOTAL RAISED (),Initial Trading Open,Intiial Trading High,Initial Trading Low,Close Day 1,Volume Initial Trading Day,Close Day 7 Trading,Price End Day 30,Price End Day 90,Price End Day 180,Price End Day 365,Price End Day 2 Years,Price End Day 5 Years,Price End Day 10 Years,notes,,,,,,,,,
AIM,23/02/2006,01/02/2006,2006,IPO,,ECONERGY INTERNATIONAL,New Company Placing,United Kingdom,8775,General Financial,Specialty Finance,100,,87,Numis Securities Limited,60,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,23/02/2006,01/02/2006,2006,IPO,,MARWYN VALUE INVESTORS,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,15.68,Colins Stewart Europe Limited,15,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,20/02/2006,01/02/2006,2006,IPO,,ELITEL TELECOM SPA,New Company Placing,Italy,6535,Fixed Line Telecommunications,Fixed Line Telecommunications,130,,49.5,Charles Stanley Securities,8.03,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,17/02/2006,01/02/2006,2006,IPO,,CLARKSON HILL GROUP,New Company Placing,United Kingdom,8777,General Financial,Investment Services,35,,7.86,City Financial Associates Limited,0.93,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,16/02/2006,01/02/2006,2006,IPO,,EXCAPSA SOFTWARE INC,New Company Placing,Canada,5752,Travel & Leisure,Gambling,110,,214.21,Canaccord Adams Limited,56.2,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,15/02/2006,01/02/2006,2006,IPO,,QINETIQ GROUP,New Company Placing,United Kingdom,2717,Aerospace & Defence,Defence,200,,"1,295.98",,150,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,15/02/2006,01/02/2006,2006,IPO,,OPTOS,New Company Placing,United Kingdom,4535,Health Care Equipment & Services,Medical Equipment,230,,151.31,,29.9,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,15/02/2006,01/02/2006,2006,IPO,,MOBILE STREAMS,New Company Placing,United Kingdom,6575,Mobile Telecommunications,Mobile Telecommunications,87,,28.06,Bridgewell Limited,6.94,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,15/02/2006,01/02/2006,2006,IPO,,ADEPT TELECOM,New Company Placing,United Kingdom,6535,Fixed Line Telecommunications,Fixed Line Telecommunications,140,,26.29,Strand Partners Limited,5,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,15/02/2006,01/02/2006,2006,IPO,,PERSONAL SCREENING,New Company Placing,United Kingdom,4537,Health Care Equipment & Services,Medical Supplies,1,,1.44,Nabarro Wells & Co. Limited,1,-,-,,,,,,,,,,,,,,,,,,,,,,,
