Market,Date,Month,Year,LSE IPO,TIDM,Company,Issue type,Transfer,Country of Inc.,FTSE Industry,FTSE Sector,FTSE Subsector,Issue Price,Currency,Market Cap - Opening Price (Â£m),Nominated Advisor (AIM only),Money Raised - New (Â£m),Money Raised - Existing (Â£m),TOTAL RAISED (Â£m),Initial Trading Open,Initial Trading High,Initial Trading Low,Adj Close Day 1,Volume Initial Trading Day,Adj Close Day 7,Adj Close Day 30,Adj Close Day 90,Adj Close Day 180,Adj Close Day 365,Adj Close Day 730,Adj Close Day 1825,Adj Close Day 3650
UK Main Market,2021-07-26,2021-07-01,2021,IPO,BPT,BRIDGEPOINT GROUP PLC,New Company Placing,,United Kingdom,30202010.0,Investment Banking and Brokerage Services ,Asset Managers and Custodians,350.0,GBX,3984.62086616,,300.000001,488.992196,788.992197,420.0,454.6000061035156,420.0,440.33819580078125,47627185.0,482.2287902832031,489.5352783203125,459.3350830078125,380.4249267578125,224.14891052246094,,,
AIM,2021-07-22,2021-07-01,2021,IPO,GENI,GENINCODE PLC,New Company Placing,,United Kingdom,20102020.0,Medical Equipment and Services,Medical Services,44.0,GBX,46.47118001,Stifel Nicolaus Europe Limited,17.00000104,0,17.00000104,48.5,48.0,40.5,42.5,882090.0,35.79999923706055,43.5,38.0,33.0,16.5,,,
AIM,2021-07-22,2021-07-01,2021,IPO,SAAS,MICROLISE GROUP PLC,New Company Placing,,United Kingdom,10101015.0,Software and Computer Services,Software,135.0,GBX,159.4256895,Singer Capital Markets Advisory LLP,18.6000003,42.554079,61.1540793,137.5,146.0,139.89999389648438,146.5,438196.0,143.0,164.5,200.0,220.0,135.0,,,
AIM,2021-07-22,2021-07-01,2021,IPO,ZED,ZENOVA GROUP PLC,New Company Placing,,United Kingdom,,,,19.0,GBX,18.6768106,SPARK Advisory Partners Limited,4.49999857,0,4.49999857,20.0,23.700000762939453,19.0,23.25,1785005.0,22.5,20.450000762939453,17.5,17.25,14.5,,,
UK Main Market,2021-07-22,2021-07-01,2021,IPO,SIV,SIVOTA PLC,New Company Placing,,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,100.0,GBX,1.112125,,1.035,0,1.035,102.5,125.0,110.0,112.5,4626.0,112.5,167.5,1.6749999523162842,1.524999976158142,1.524999976158142,,,
AIM,2021-07-20,2021-07-01,2021,IPO,LORD,LORDS GROUP TRADING PLC,New Company Placing,,United Kingdom,50101020.0,Construction and Materials ,"Building, Roofing/Wallboard and Plumbing",95.0,GBX,155.141387795,Cenkos Securities Plc,29.99999965,21.9999974,51.99999705,98.5,103.0999984741211,95.82599639892578,97.17739868164062,651224.0,104.4656982421875,114.18343353271484,121.55735778808594,108.8646240234375,69.34405517578125,,,
AIM,2021-07-19,2021-07-01,2021,IPO,BHL,BRADDA HEAD HOLDINGS LIMITED,New Company Placing,,British Virgin Islands,55102050.0,Industrial Metals and Mining,Nonferrous Metals,5.5,GBX,18.3163771875,Beaumont Cornish Limited,6.20000002,0,6.20000002,6.25,6.5,5.050000190734863,5.75,11435554.0,6.300000190734863,10.0,7.625,11.699999809265137,7.300000190734863,,,
AIM,2021-07-19,2021-07-01,2021,IPO,FWD,FORWARD PARTNERS GROUP PLC,New Company Placing,,United Kingdom,,,,100.0,GBX,151.439756625,Liberum Capital Limited,36.5,0,36.5,112.5,114.0,98.98999786376953,102.5,2247325.0,96.5,101.5,116.0,106.0,46.0,,,
AIM,2021-07-19,2021-07-01,2021,IPO,POLB,POOLBEG PHARMA PLC,New Company Placing,,United Kingdom,,,,10.0,GBX,55.0,finnCap Ltd,25.0,0,25,11.0,12.0,10.029999732971191,10.75,11261890.0,11.100000381469727,10.25,10.75,9.149999618530273,4.650000095367432,,,
AIM,2021-07-19,2021-07-01,2021,IPO,REVB,REVOLUTION BEAUTY GROUP PLC,New Company Placing,,United Kingdom,,,,160.0,GBX,510.46875,Zeus Capital Limited,110.7114992,189.2885008,300,165.0,168.0,149.89999389648438,150.0,2945842.0,166.0,167.0,124.0,117.5,64.5,,,
