Market,Date,Month,Year,LSE IPO,TIDM,Company,Issue type,Transfer,Country of Inc.,FTSE Industry,FTSE Sector,FTSE Subsector,Issue Price,Currency,Market Cap - Opening Price (Â£m),Nominated Advisor (AIM only),Money Raised - New (Â£m),Money Raised - Existing (Â£m),TOTAL RAISED (Â£m),Initial Trading Open,Initial Trading High,Initial Trading Low,Adj Close Day 1,Volume Initial Trading Day,Adj Close Day 7,Adj Close Day 30,Adj Close Day 90,Adj Close Day 180,Adj Close Day 365,Adj Close Day 730,Adj Close Day 1825,Adj Close Day 3650
International Main Market,13/07/2022,01/07/2022,2022,IPO,MYSE,MING YANG SMART ENERGY GROUP LIMITED,International Offering (GDR),,China,,,,21,USD,0,,545.9982545,0,545.9982545,21,21,21,21,446000,22.20000076,20,18,19.25,,,,
UK Main Market,08/07/2022,01/07/2022,2022,IPO,SPMU,SPIRITUS MUNDI PLC,New Company Placing,,United Kingdom,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,5,GBX,2.7115,,0.28,0,0.28,6,6,6,6,0,0.07,4.5,2.75,0.0275,,,,
AIM,06/07/2022,01/07/2022,2022,IPO,LIFS,LIFESAFE HOLDINGS PLC,New Company Placing,,United Kingdom,50202020,Electronic and Electrical Equipment,Electronic Equipment: Control and Filter,75,GBX,17.13373875,W.H. Ireland Limited,3,0,3,77.5,79.5,75,77.5,51529,70.5,53.5,42.5,48,,,,
UK Main Market,01/07/2022,01/07/2022,2022,IPO,ALTE,ALTERATION EARTH PLC,New Company Placing,,United Kingdom,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,0.07,GBP,4.95,,1.25999986,0,1.25999986,27.5,45,45,30,570,15,0.150000006,10,15,,,,
AIM,24/05/2022,01/05/2022,2022,IPO,ENSI,ENSILICA PLC,New Company Placing,,United Kingdom,,,,50,GBX,40.24901782,Allenby Capital Limited,6,0.15,6.15,53.5,57,50,51,174692,50.5,46,49.5,67,,,,
UK Main Market,06/05/2022,01/05/2022,2022,IPO,KEN,KENDRICK RESOURCES PLC,New Company Placing,,United Kingdom,55102000,Industrial Metals and Mining,General Mining,3.5,GBX,8.50607512,,3.25000001,0,3.25000001,3.875,3.5,3,3.25,1859947,2.799999952,2.25,1.549999952,1.225000024,,,,
International Main Market,13/04/2022,01/04/2022,2022,IPO,FINS,FINANCIALS ACQUISITION CORP,New Company Placing,,Cayman Islands,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,1000,GBX,153.348975,,154.5,0,154.5,1000.200012,1000.200012,1000,991.5,1188452,997.5,992.5,995,995,10.35000038,,,
UK Main Market,08/04/2022,01/04/2022,2022,IPO,1SN,FIRST TIN PLC,New Company Placing,,United Kingdom,55102050,Industrial Metals and Mining,Nonferrous Metals,30,GBX,86.2988659,,20.0000001,0,20.0000001,32.5,31.5,28.26000023,30,489405,29.5,21,15,10.625,6.5,,,
UK Main Market,08/04/2022,01/04/2022,2022,IPO,ARA,AURA RENEWABLE ACQUISITIONS PLC,New Company Placing,,United Kingdom,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,10,GBX,1.575,,1,0,1,15,18.5,11,17,261771,15.25,11.5,9,7.5,5,,,
UK Main Market,07/04/2022,01/04/2022,2022,IPO,AJAX,AJAX RESOURCES PLC,New Company Placing,,United Kingdom,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,0.04,GBP,2.343125,,1.342,0,1.342,5,4.900000095,4.5,4.75,286078,5.099999905,4.599999905,0.0425,4.25,9,,,
UK Main Market,05/04/2022,01/04/2022,2022,IPO,OFG,OCTOPUS FUTURE GENERATIONS VCT PLC,Offer for Subscription - New Company,,United Kingdom,,,,100,GBX,17.900669,,17.900667,0,17.900667,0.970000029,0.970000029,0.970000029,0.970000029,0,1,1,1,100,93,,,
UK Main Market,25/03/2022,01/03/2022,2022,IPO,BRS,BEACON RISE HOLDINGS PLC,New Company Placing,,United Kingdom,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,100,GBX,2.805,,1.072,0,1.072,2.5,2.5,2.5,2.5,0,2.5,2.5,2.5,2.5,0.899999976,,,
UK Main Market,23/03/2022,01/03/2022,2022,IPO,RCGH,RC365 HOLDING PLC,New Company Placing,,United Kingdom,50205015,Industrial Support Services,Transaction Processing Services,6.2,GBX,7.52742137,,2.01714464,0,2.01714464,7,7,7,7,0,8.5,10,0.150000006,0.200000003,21,,,
AIM,17/03/2022,01/03/2022,2022,IPO,CTL,CLEANTECH LITHIUM PLC,New Company Placing,,Jersey,55102050,Industrial Metals and Mining,Nonferrous Metals,30,GBX,26.47613607,Beaumont Cornish Limited,5.6000001,0,5.6000001,33.5,36.70000076,33.75,35.5,406649,35.20000076,28,27,61.59999847,63.40000153,,,
UK Main Market,16/03/2022,01/03/2022,2022,IPO,NEOA,NEW ENERGY ONE ACQUISITION CORPORATION PLC,New Company Placing,,United Kingdom,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,1000,GBX,172.9875,,175,0,175,1000,1000,1000,993,1000,995.5,10.07999992,990,9.899999619,10.19999981,,,
UK Main Market,09/03/2022,01/03/2022,2022,IPO,CODX,CODEX ACQUISITIONS PLC,New Company Placing,,United Kingdom,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,10,GBX,1.275,,0.8,0.05,0.85,15,15,15,15,0,0.150000006,0.150000006,0.150000006,0.150000006,0.125,,,
UK Main Market,04/03/2022,01/03/2022,2022,IPO,TMOR,MORE ACQUISITIONS PLC,New Company Placing,,United Kingdom,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,0.01,GBP,1.5000012,,1.200001,0.05,1.250001,1.200000048,1.279999971,1.100000024,1.149999976,17311253,1.100000024,1.125,1.100000024,0.975000024,0.0095,,,
UK Main Market,02/03/2022,01/03/2022,2022,IPO,URAH,URA HOLDINGS PLC,New Company Placing,,United Kingdom,55102000,Industrial Metals and Mining,General Mining,2,GBX,3.54613975,,1.05,0,1.05,2.5,2.150000095,1.75,2.25,209936,1.899999976,1.975000024,1.674999952,1.350000024,2.349999905,,,
International Main Market,01/03/2022,01/03/2022,2022,IPO,HAMA,HAMAK GOLD LIMITED,New Company Placing,,British Virgin Islands,55103025,Precious Metals and Mining,Gold Mining,10,GBX,2.49996,,0.955,0,0.955,12,10,10,12,450000,11,9.25,9.25,8.5,10,,,
AIM,16/02/2022,01/02/2022,2022,IPO,CPH2,CLEAN POWER HYDROGEN PLC,New Company Placing,,United Kingdom,60102010,Alternative Energy,Alternative Fuels ,45,GBX,141.9996823,Cenkos Securities Plc,30.00000015,0.47301795,30.4730181,53.5,69,45,61.5,995403,61.5,69.5,49.79999924,48,25.25,,,
AIM,16/02/2022,01/02/2022,2022,IPO,STG,STRIP TINNING HOLDINGS PLC,New Company Placing,,United Kingdom,50202010,Electronic and Electrical Equipment,Electrical Components ,185,GBX,27.5743237,Singer Capital Markets Advisory LLP,7.9999994,2.7499991,10.7499985,192.5,200,170,185,320097,185,157.5,147.5,100,55,,,
AIM,09/02/2022,01/02/2022,2022,IPO,IX.,I(X) NET ZERO PLC,New Company Placing,,Jersey,30202010,Investment Banking and Brokerage Services ,Asset Managers and Custodians,76,GBX,62.05959664,Shore Capital & Corporate Limited,10.68317636,0,10.68317636,,,,,,,,,,,,,
AIM,07/02/2022,01/02/2022,2022,IPO,ARV,ARTEMIS RESOURCES LIMITED,New Company Placing,,Australia,55102000,Industrial Metals and Mining,General Mining,3.75,GBX,59.00406682,W.H. Ireland Limited,4.99999999,0,4.99999999,4.25,5,3.5,3.75,9566388,3.875,3.849999905,2.200000048,1.562999964,1.424999952,,,
International Main Market,07/02/2022,01/02/2022,2022,IPO,HMA1,HIRO METAVERSE ACQUISITIONS I S.A.,New Company Placing,,Luxembourg,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,1000,GBX,118.81363,,118.105,0,118.105,1003,1003,1003,1003,0,1000,996,1005,997.5,1025,,,
AIM,04/02/2022,01/02/2022,2022,IPO,HERC,HERCULES SITE SERVICES PLC,New Company Placing,,United Kingdom,50101010,Construction and Materials ,Construction,50.5,GBX,30.79135815,SP Angel Corporate Finance LLP,3.99999996,3.99999996,7.99999992,52.5,55,52,50.30118942,60121,46.07025146,45.60014343,52.89121628,46.2024231,54.55818176,,,
UK Main Market,28/01/2022,01/01/2022,2022,IPO,ACPE,ACP ENERGY PLC,New Company Placing,,United Kingdom,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,5,GBX,3.029,,0.83,0,0.83,6.5,6.5,6.5,6.5,0,6.75,6.800000191,0.064999998,0.059999999,0.064999998,,,
UK Main Market,17/01/2022,01/01/2022,2022,IPO,GENF,GENFLOW BIOSCIENCES PLC,New Company Placing,,United Kingdom,20103010,"Pharmaceuticals, Biotechnology and Marijuana Producers",Biotechnology,8,GBX,27.05686217,,3.76292,0,3.76292,9.25,11.76000023,9.470000267,11.5,2162734,12.5,12.5,9.5,3.25,2.150000095,,,
UK Main Market,11/01/2022,01/01/2022,2022,IPO,ELEG,ELECTRIC GUITAR PLC,New Company Placing,,United Kingdom,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,3,GBX,1.88054022,,1.2,0,1.2,3.25,3.474999905,3.424999952,3.25,157000,3.849999905,3.349999905,3.049999952,2.849999905,2.5,,,
UK Main Market,06/01/2022,01/01/2022,2022,IPO,GPL,GRAFT POLYMER (UK) PLC,New Company Placing,,United Kingdom,55201020,Chemicals,Specialty Chemicals,21.5,GBX,23.16164903,,4.9999998,0,4.9999998,22.25,22.46299934,21.54999924,22.125,471304,22,22,16.29999924,16.10000038,13.89999962,,,
AIM,05/01/2022,01/01/2022,2022,IPO,ADF,FACILITIES BY ADF PLC,New Company Placing,,United Kingdom,50206050,Industrial Transportation,Commercial Vehicle-Equipment Leasing,50,GBX,39.26,Cenkos Securities Plc,15,3.394,18.394,52,56,50,53.92034531,1114961,64.30867004,67.27676392,68.26612854,62.3299408,56,,,
AIM,30/12/2021,01/12/2021,2021,IPO,ATOM,ATOME ENERGY PLC,New Company Placing,,United Kingdom,60101010,"Oil, Gas and Coal",Oil: Crude Producers,80,GBX,27.625,Beaumont Cornish Limited,6,0,6,85,89.30000305,77.09999847,80,369489,80,73.5,73.5,100,105.5,,,
International Main Market,24/12/2021,01/12/2021,2021,IPO,MACA,MAC ALPHA LIMITED,New Company Placing,,British Virgin Islands,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,100,GBX,0,,0.7,0,0.7,,,,,,,,,,,,,
AIM,23/12/2021,01/12/2021,2021,IPO,CTA,CT AUTOMOTIVE GROUP PLC,New Company Placing,,United Kingdom,40101025,Automobiles and Parts,Auto Parts,147,GBX,81.4932624,Liberum Capital Limited,33.62170035,0,33.62170035,160,165,156,160,19530,160,165,165,162.5,0.949999988,,,
AIM,23/12/2021,01/12/2021,2021,IPO,LIB,LIBERTINE HOLDINGS PLC,New Company Placing,,United Kingdom,50204030,Industrial Engineering,Machinery: Engines,20,GBX,31.07002725,Panmure Gordon (UK) Limited,9,0,9,22.5,32,24.87999916,30,122567,37.5,32.5,29.5,22.5,0.144999996,,,
AIM,22/12/2021,01/12/2021,2021,IPO,APTA,APTAMER GROUP PLC,New Company Placing,,United Kingdom,20103010,"Pharmaceuticals, Biotechnology and Marijuana Producers",Biotechnology,117,GBX,88.59007679,SPARK Advisory Partners Limited,10.76644998,0,10.76644998,128.5,146,131.4499969,141.5,193405,138,142,120,97.5,62.5,,,
UK Main Market,20/12/2021,01/12/2021,2021,IPO,GSCU,GREAT SOUTHERN COPPER PLC,New Company Placing,,United Kingdom,,,,0.05,GBP,12.748566,,3.51825,0,3.51825,6,5.099999905,4.409999847,4.550000191,430024,4.900000095,4.75,3.700000048,4.050000191,2.349999905,,,
International Main Market,17/12/2021,01/12/2021,2021,IPO,ESOZ,EPE SPECIAL OPPORTUNITIES LIMITED,New Company Placing,,Bermuda,,,,100,GBX,20.5,Numis Securities Limited,20,0,20,102.5,100,100,102.5,53,104.5,105,105,105,97.5,,,
AIM,16/12/2021,01/12/2021,2021,IPO,DSW,DSW CAPITAL PLC,New Company Placing,,United Kingdom,30202010,Investment Banking and Brokerage Services ,Asset Managers and Custodians,100,GBX,22.67075848,Shore Capital & Corporate Limited,5,0,5,106,117.5,109.1999969,108.6873474,96221,120.0781631,119.6035461,99.66962433,116.2812271,120,,,
AIM,16/12/2021,01/12/2021,2021,IPO,PPHC,"PUBLIC POLICY HOLDING COMPANY, INC.",New Company Placing,,United States,50205020,Industrial Support Services,Professional Business Support Services,135,GBX,151.53607,Stifel Nicolaus Europe Limited,11.1240675,19.52601255,30.65008005,139.5,139.5,139.5,135.1254272,0,137.0627136,138.0313568,136.0940704,142.8745575,145.5,,,
AIM,15/12/2021,01/12/2021,2021,IPO,LBG,LBG MEDIA PLC,New Company Placing,,United Kingdom,40301010,Media,Entertainment,175,GBX,401.1428577,Zeus Capital Limited,29.99999975,81.065894,111.0658938,195,202.9499969,175,200,725003,192,191,192.5,127,67.50499725,,,
UK Main Market,14/12/2021,01/12/2021,2021,IPO,TLEI,THOMASLLOYD ENERGY IMPACT TRUST PLC,New Company Placing,,United Kingdom,,,,1,USD,89.55533731,,86.91859596,0,86.91859596,1.029999971,1.029999971,1.029999971,1.019912601,0,1.019912601,1.14863956,1.18329668,1.102247477,1.139999986,,,
AIM,07/12/2021,01/12/2021,2021,IPO,4GBL,4GLOBAL PLC,New Company Placing,,United Kingdom,10101015,Software and Computer Services,Software,91,GBX,23.7104946,SPARK Advisory Partners Limited,4.00000055,0,4.00000055,90,94.98999786,91.80000305,95,64791,88.5,83.5,89,71.5,61.5,,,
AIM,06/12/2021,01/12/2021,2021,IPO,OBI,ONDINE BIOMEDICAL INC.,New Company Placing,,Canada,,,,53.41,GBX,108.9673334,Arden Partners plc,22.25526122,0,22.25526122,56,58.59999847,53.40999985,58,2436227,58.5,55.5,51.5,43.5,25,,,
AIM,06/12/2021,01/12/2021,2021,IPO,WNWD,WINDWARD LTD,New Company Placing,,Israel,50205020,Industrial Support Services,Professional Business Support Services,155,GBX,132.6611618,Canaccord Genuity Ltd,26.28219525,8.2178055,34.50000075,162.5,173.5,168,170,70855,203,220,141,122.5,65,,,
AIM,01/12/2021,01/12/2021,2021,IPO,SKL,SKILLCAST GROUP PLC,New Company Placing,,United Kingdom,10101015,Software and Computer Services,Software,37,GBX,33.1000002,finnCap Ltd,3.5000002,1.00000011,4.50000031,37,43.40000153,38.79999924,42.1680336,159319,39.71640015,36.28411865,31.38086128,23.53564644,18.5,,,
AIM,30/11/2021,01/11/2021,2021,IPO,GELN,GELION PLC,New Company Placing,,United Kingdom,,,,145,GBX,160.7603969,finnCap Ltd,16.04233455,3.0000007,19.04233525,151,155,147,153,243958,270,157.5,109,97.5,53.5,,,
UK Main Market,30/11/2021,01/11/2021,2021,IPO,HPA1,HAMBRO PERKS ACQUISITION COMPANY LIMITED,New Company Placing,,Guernsey,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,1000,GBX,143.5,,143.5,0,143.5,1000,1010,1000,1000.5,180005,1010,1000,995,1000,1000,,,
UK Main Market,24/11/2021,01/11/2021,2021,IPO,FSF,FORESIGHT SUSTAINABLE FORESTRY COMPANY PLC,New Company Placing,,United Kingdom,,,,100,GBX,0,,130,0,130,100,100,96,98,539553,93.5,95.5,93,114.5,105,,,
AIM,23/11/2021,01/11/2021,2021,IPO,AT.,ASHTEAD TECHNOLOGY HOLDINGS PLC,New Company Placing,,United Kingdom,60101030,"Oil, Gas and Coal",Oil Equipment and Services,162,GBX,130.51448,Numis Securities Limited,15.52284,36.046296,51.569136,,,,,,,,,,,,,
UK Main Market,23/11/2021,01/11/2021,2021,IPO,ROOF,ATRATO ONSITE ENERGY PLC,New Company Placing,,United Kingdom,30204000,Closed End Investments,Closed End Investments,100,GBX,157.5,,149.999999,0,149.999999,105,108,104.9899979,101.585907,4460648,102.058403,103.4758759,100.5464249,104.1888657,82.49209595,,,
AIM,22/11/2021,01/11/2021,2021,IPO,ETP,ENERAQUA TECHNOLOGIES PLC,New Company Placing,,United Kingdom,50101020,Construction and Materials ,"Building, Roofing/Wallboard and Plumbing",277,GBX,95.3475131,finnCap Ltd,11.99999733,7.9949125,19.99490983,287,289.6000061,280,289.0235596,86068,284.0404053,254.1414185,279.057251,252.1481476,330,,,
AIM,19/11/2021,01/11/2021,2021,IPO,LABS,LIFE SCIENCE REIT PLC,New Company Placing,,United Kingdom,35102030,Real Estate Investment Trusts,Office REITs,100,GBX,357,Panmure Gordon (UK) Limited,349.999999,0,349.999999,102,102.5,100,94.38076019,3887902,93.91120148,94.85031891,96.02420044,95.55464935,71.38263702,,,
UK Main Market,19/11/2021,01/11/2021,2021,IPO,REDC,RED CAPITAL PLC,New Company Placing,,Jersey,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,10,GBX,2.1,,0.4,0,0.4,21,25.99699974,21.95000076,25.5,36243,29.5,34.5,34.5,0.314999998,0.314999998,,,
UK Main Market,17/11/2021,01/11/2021,2021,IPO,TM1,TECHNOLOGY MINERALS PLC,New Company Placing,,United Kingdom,55102000,Industrial Metals and Mining,General Mining,2.25,GBX,31.52013647,,1.50000001,0,1.50000001,2.599999905,3.839999914,2.799999952,3.25,11650194,3.799999952,3.059999943,3.525000095,2.900000095,1.375,,,
UK Main Market,16/11/2021,01/11/2021,2021,IPO,PINT,PANTHEON INFRASTRUCTURE PLC,New Company Placing,,United Kingdom,,,,100,GBX,412,,400,0,400,103,105,102.7839966,101.7223587,5288742,101.8398743,102.0846786,103.7983322,105.2671738,96.83005524,,,
AIM,12/11/2021,01/11/2021,2021,IPO,FRG,FIRERING STRATEGIC MINERALS PLC,New Company Placing,,Cyprus,55102000,Industrial Metals and Mining,General Mining,13,GBX,13.032804,SPARK Advisory Partners Limited,5.90589688,0,5.90589688,15,15.27999973,14,14.5,378061,13.89999962,13.35000038,13,9.649999619,15.625,,,
UK Main Market,12/11/2021,01/11/2021,2021,IPO,PROC,PROCOOK GROUP PLC,New Company Placing,,United Kingdom,40202025,Household Goods and Home Construction,Household Equipment and Products,145,GBX,174.3305984,,0,39.73,39.73,150,151.9600067,147.0399933,147.1760712,113762,154.9993896,143.2644196,154.0214691,107.570549,35.04999924,,,
UK Main Market,10/11/2021,01/11/2021,2021,IPO,SRAD,STELRAD GROUP PLC,New Company Placing,,United Kingdom,50101025,Construction and Materials ,Building: Climate Control,215,GBX,290.3638254,,25.03499775,0,25.03499775,227,227.0500031,215,213.966507,54755,214.9435272,210.0584412,210.0584412,209.0510559,123,,,
UK Main Market,09/11/2021,01/11/2021,2021,IPO,HEIT,HARMONY ENERGY INCOME TRUST PLC,New Company Placing,,United Kingdom,,,,100,GBX,213.15,,210,0,210,101.5,103.5999985,102,99.59337616,1321553,99.10990906,96.69259644,96.93432617,111.1964874,108.3000793,,,
UK Main Market,09/11/2021,01/11/2021,2021,IPO,PODP,POD POINT GROUP HOLDINGS PLC,New Company Placing,,United Kingdom,60102010,Alternative Energy,Alternative Fuels ,225,GBX,343.5472211,,120.1579583,0,120.1579583,220,220.0500031,210,216,4115187,225,238,227.6000061,211.1999969,52.09999847,,,
AIM,05/11/2021,01/11/2021,2021,IPO,MRK,MARKS ELECTRICAL GROUP PLC,New Company Placing,,United Kingdom,40401030,Retailers ,Specialty Retailers ,110,GBX,121.2161528,Panmure Gordon (UK) Limited,4.9999994,25.0000003,29.9999997,115.5,118,110,109.1618271,311034,109.6557693,120.5225601,111.1376038,94.34347534,70.72156525,,,
AIM,04/11/2021,01/11/2021,2021,IPO,DEVO,"DEVOLVER DIGITAL, INC.",New Company Placing,,United States,40203040,Leisure Goods,Electronic Entertainment,157,GBX,751.8364172,Zeus Capital Limited,33.42283196,154.3196018,187.7424338,170,190,171.7669983,185,4828584,195,180,196,152.5,71,,,
International Main Market,01/11/2021,01/11/2021,2021,IPO,SFTL,SOFTLINE HOLDING PLC,International Offering (GDR),,United States,10101015,Software and Computer Services,Software,7.5,USD,992.923601,,333.575058,0,333.575058,,,,,,,,,,,,,
AIM,25/10/2021,01/10/2021,2021,IPO,AXL,ARROW EXPLORATION CORP.,New Company Placing,,Canada,60101010,"Oil, Gas and Coal",Oil: Crude Producers,6.25,GBX,14.67369029,Arden Partners plc,8.80934656,0,8.80934656,7,7.900000095,6.599999905,7.375,2063579,7.25,7.75,8.25,14.5,18.25,,,
AIM,21/10/2021,01/10/2021,2021,IPO,TUN,TUNGSTEN WEST PLC,New Company Placing,,United Kingdom,55102050,Industrial Metals and Mining,Nonferrous Metals,60,GBX,110.6697319,Strand Hanson Limited,39,0,39,62.5,64.25,60,62.75,5643856,65,75,60.5,66,20.5,,,
